,Ahalf,Y,Z,E
622,0.935,0.0,5.085,-0.149173
623,1.085,0.0,5.235,-0.122828
624,1.235,0.0,5.385,-0.096635
625,0.48,0.0,4.81,-0.109728
626,0.555,0.0,4.885,-0.151426
627,0.63,0.0,4.96,-0.169691
628,0.705,0.0,5.035,-0.174145
629,0.78,0.0,5.11,-0.170296
630,0.93,0.0,5.26,-0.150122
631,1.08,0.0,5.41,-0.123788
632,1.23,0.0,5.56,-0.09746
633,0.825,0.0,2.475,-0.157107
634,0.8785,0.0,2.6355,-0.159176
635,0.925,0.0,2.775,-0.157917
636,0.707,0.0,3.8781,-0.170823
637,0.705,0.0,4.0761,-0.171858
638,0.7035,0.0,4.2746,-0.172656
639,0.515,0.0,1.995,-0.064759
640,0.58,0.0,2.14,-0.108868
641,0.525,0.0,2.345,-0.099578
642,0.455,0.0,2.225,-0.03971
643,0.48,0.0,2.56,-0.080846
644,0.46,0.0,2.87,-0.074565
645,0.445,0.0,3.135,-0.065954
