  Nabs ijk   A/2       Y3       Z3           S f(N) sumC*C    Eex   dEl34 dE(T)  DTS  |Ddc| DbasL  Efinal
 85362 000     0.826368 1.778497 1.103763                              P .01 .988241 -.132540   -20   395     5   393  2086 -.134625
 85363 000     0.820152 1.991085 1.008776                              P .01 .988190 -.134402    -1   381     0   384  2106 -.136512
 85364 000     1.000000 2.000000 0.000000                              P .01 .989245 -.090118   -16   235     4   293  2110 -.092227
 85365 000     0.834551 2.935101 0.213918                              P .01 .989136 -.147739   -46   241    12   298  1975 -.149706
 85366 000     1.250000 2.400000 0.550000                              P .01 .991554 -.081936   -16   217     4   164  2034 -.083968
 85367 000     0.724500 0.000000 2.173500                              P .01 .985594 -.136422   -41   236    10   603  1648 -.138066
 85368 000     0.500000 1.796292 1.270171                              d .22 .984462 -.076169   -35   537     9   724  2141 -.078463
 85369 000     0.500000 1.905256 1.100000                              d .22 .984428 -.076441   -76   544    19   726  2147 -.078731
 85370 000     0.500000 2.200000 0.000000                              P .01 .984062 -.077100   -23   211     6   770  2094 -.079196
 85371 000     0.550000 1.100000 1.905256                              d .22 .983785 -.101899  -156   582    39   763  1961 -.103992
 85372 000     0.550000 1.555635 1.555635                              d .22 .983614 -.102903   -84   564    21   771  2074 -.105129
 85373 000     0.550000 1.796292 1.270171                              d .22 .983508 -.103265  -150   565    38   777  2119 -.105521
 85374 000     0.550000 1.905256 1.100000                              d .22 .983470 -.103344   -82   566    21   778  2132 -.105629
 85375 000     0.550000 2.200000 0.000000                              P .01 .984139 -.103428   -20   203     5   738  2069 -.105500
 85376 000     0.600000 1.555635 1.555635                              d .22 .982708 -.120190  -110   574    27   821  2046 -.122393
 85377 000     0.600000 1.796292 1.270171                              d .22 .982539 -.120149  -232   612    58   830  2108 -.122385
 85378 000     0.600000 1.905256 1.100000                              P .01 .984473 -.120094   -41   392    10   694  2127 -.122218
 85379 000     0.600000 2.200000 0.000000                              P .01 .984128 -.119175     3   199    -1   712  2072 -.121255
 85380 000     0.650000 1.100000 1.905256                              d .22 .982232 -.130735   -81   548    20   849  1866 -.132771
 85381 000     0.650000 1.555635 1.555635                              d .22 .981811 -.130712   -97   548    24   870  2020 -.132902
 85382 000     0.650000 1.796292 1.270171                              P .01 .984622 -.130204   -67   414    17   664  2094 -.132288
 85383 000     0.650000 1.905256 1.100000                              P .01 .984509 -.129671   -58   412    15   669  2121 -.131785
 85384 000     0.650000 2.200000 0.000000                              P .01 .984060 -.127534   -35   212     9   691  2086 -.129618
 85385 000     0.700500 0.000000 2.200000                              P .01 .985598 -.136210   -18   283     5   603  1651 -.137863
 85386 000     0.700500 1.100000 1.905256                              d .22 .981582 -.137672   -73   491    18   883  1833 -.139685
 85387 000     0.700500 1.555635 1.555635                              P .01 .984908 -.137031     1   398     0   631  1995 -.139033
 85388 000     0.700500 1.796292 1.270171                              P .01 .984664 -.135489   -56   403    14   641  2079 -.137560
 85389 000     0.700500 1.905256 1.100000                              P .01 .984543 -.134449   -27   391     7   645  2112 -.136560
 85390 000     0.700500 2.200000 0.000000                              P .01 .983994 -.130602   -28   201     7   670  2103 -.132704
 85391 000     0.724500 0.000000 2.200000                              P .01 .985547 -.138458   -46   273    12   603  1646 -.140098
 85392 000     0.724500 0.569402 2.125037                              d .22 .981835 -.139169  -143   466    36   870  1692 -.141020
 85393 000     0.724500 1.100000 1.905256                              d .22 .981320 -.139940   -60   460    15   896  1822 -.141947
 85394 000     0.724500 1.555635 1.555635                              P .01 .984927 -.138876   -40   411    10   622  1985 -.140857
 85395 000     0.724500 1.796292 1.270171                              P .01 .984692 -.136830   -43   405    11   630  2072 -.138897
 85396 000     0.724500 1.905256 1.100000                              P .01 .984560 -.135528   -66   408    16   635  2107 -.137625
 85397 000     0.724500 2.125037 0.569402                              P .01 .984189 -.132070    -6   332     2   650  2152 -.134227
 85398 000     0.724500 2.200000 0.000000                              P .01 .983964 -.130671   -60   209    15   661  2112 -.132774
 85399 000     0.779678 1.128671 1.913742                              d .22 .980760 -.144523  -118   414    30   920  1811 -.146511
 85400 000     0.800000 1.555635 1.555635                              P .01 .985003 -.141816   -11   412     3   596  1962 -.143782
 85401 000     0.800000 1.796292 1.270171                              P .01 .984802 -.137952   -35   417     9   598  2054 -.140003
 85402 000     0.800000 1.905256 1.100000                              P .01 .988117 -.135592   -58   425    15   397  2094 -.137676
 85403 000     0.800000 2.200000 0.000000                              P .01 .988714 -.126705   -44   217    11   351  2142 -.128839
 85404 000     0.675000 0.000000 2.375000                              P .01 .985274 -.143125   -28   267     7   612  1671 -.144796
 85405 000     0.762162 1.226773 1.939034                              P .01 .985184 -.146420    51   411   -13   597  1834 -.148272
 85406 000     0.850000 1.555635 1.555635                              P .01 .985009 -.142519   -33   312     8   585  1947 -.144463
 85407 000     0.850000 1.796292 1.270171                              P .01 .988397 -.137251    37   388    -9   376  2038 -.139302
 85408 000     0.850000 1.905256 1.100000                              P .01 .988389 -.133982   -23   403     6   372  2080 -.136060
 85409 000     0.850000 2.200000 0.000000                              P .01 .988888 -.121549   -48   219    12   331  2153 -.123693
 85410 000     0.745074 1.328728 1.959357                              P .01 .985072 -.147752     5   414    -1   600  1851 -.149610
