theta r1 r2 energy dipole_x dipole_y
80.00000000  1.20000000 1.20000000 -76.12796431 0.90455305     0.00000000
120.00000000 1.20000000 1.20000000 -76.12312567 0.65905199     0.00000000
170.00000000 1.20000000 1.20000000 -76.05999403 0.13728653     0.00000000
60.00000000  0.90000000 1.50000000 -76.06848103 0.91234292 0.09141725
40.00000000  0.90000000 1.50000000 -76.02573284 0.96059279 0.11678567
80.00000000  0.90000000 1.50000000 -76.09072173 0.85679335 0.02884237
100.00000000 0.90000000 1.50000000 -76.09492424 0.76422103 -0.04391672
120.00000000 0.90000000 1.50000000 -76.08360912 0.63246343 -0.12283387
140.00000000 0.90000000 1.50000000 -76.06006610 0.46531067 -0.22542087
160.00000000 0.90000000 1.50000000 -76.03003101 0.26462797 -0.42702412
180.00000000 0.90000000 1.50000000 -76.01137364 0.00000000    -0.71951771
40.00000000  0.80000000 1.00000000 -75.98183897 0.99633931 0.01200892
60.00000000  0.80000000 1.00000000 -76.08767390 0.93590649 0.00095841
80.00000000  0.80000000 1.00000000 -76.13823515 0.85565768 -0.02503414
100.00000000 0.80000000 1.00000000 -76.15820797 0.76153368 -0.05854857
120.00000000 0.80000000 1.00000000 -76.15539711 0.64213794 -0.09772836
140.00000000 0.80000000 1.00000000 -76.13830395 0.48168269 -0.14211201
160.00000000 0.80000000 1.00000000 -76.11872327 0.26545670 -0.18482848
170.00000000 0.80000000 1.00000000 -76.11229959 0.13671003 -0.19924695
180.00000000 0.80000000 1.00000000 -76.10999387 0.00000000    -0.20454552
 60.0000  0.70000  0.90000   -75.97486141    0.90614213   -0.00501993
 80.0000  0.70000  0.90000   -76.03633903    0.82432686   -0.03050824
100.0000  0.70000  0.90000   -76.06299591    0.73367830   -0.06219874
120.0000  0.70000  0.90000   -76.06457041    0.61972909   -0.09792408
140.0000  0.70000  0.90000   -76.05069176    0.46448196   -0.13577169
160.0000  0.70000  0.90000   -76.03370345    0.25457283   -0.16883335
180.0000  0.70000  0.90000   -76.02613921    0.00000000   -0.18288169
 40.0000  1.00000  1.30000   -76.05177904    1.00266835    0.03406570
 50.0000  1.00000  1.30000   -76.08383995 0.98866920 0.03988669
 60.0000  1.00000  1.30000   -76.10689973    0.96381535    0.03404153
 80.0000  1.00000  1.30000   -76.13511246    0.89382652    0.00134556
100.0000  1.00000  1.30000   -76.14243296    0.79422071   -0.04326621
120.0000  1.00000  1.30000   -76.13208240    0.66135310   -0.09699922
140.0000  1.00000  1.10000   -76.15457081 0.49492243 -0.06830106
140.0000  1.00000  1.30000   -76.10890761    0.49146673   -0.16934388
160.0000  1.00000  1.30000   -76.08163306    0.27483377   -0.27586367
170.0000  1.00000  1.30000   -76.07151341    0.14379228   -0.33260540
180.0000  1.00000  1.30000   -76.06762676    0.00000000   -0.35876194
180.0000  1.00000  1.20000   -76.09513617 0.00000000    -0.23527936
140.0000  1.00000  1.20000   -76.13289067 0.49595117 -0.12755788
